eps,mu,width,length,time_series_0,time_series_1,time_series_2,time_series_3,time_series_4,time_series_5,time_series_6,time_series_7,time_series_8,time_series_9,time_series_10,time_series_11,time_series_12,time_series_13,time_series_14,time_series_15,time_series_16,time_series_17,time_series_18,time_series_19
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012916906567226904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005829729354464963,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028920777798077664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013778034766835992,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00530031152699881,0.0,0.0,0.0,0.0,0.0,-1.5426391555008624e-09,0.0,0.0,0.0,0.0025584884990375034,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00810546487504026,0.0,0.0,0.0,0.0,0.0,-1.3247684747540703e-08,0.0,0.0,0.0,0.007938398574979785,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-2.530313874810292e-10,0.0,0.0,0.0,-0.010869241898639947,0.0,0.0,0.0,0.0,0.0,-1.4056872125468183e-07,0.0,0.0,0.0,0.012106439077169247,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-2.365255345200947e-09,0.0,0.0,0.0,-0.012681542807778886,0.0,0.0,0.0,0.0,0.0,-9.556324575031288e-07,0.0,0.0,0.0,0.01640713280358668,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-2.7963756878512308e-08,0.0,0.0,0.0,-0.01260136853332357,0.0,0.0,0.0,0.0,0.0,-4.799403931293058e-06,0.0,0.0,0.0,0.021361438539875995,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-2.0726032415970108e-07,0.0,0.0,0.0,-0.011806045882592374,0.0,0.0,0.0,0.0,0.0,-2.0118403103359526e-05,0.0,0.0,0.0,0.024743485250694367,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-1.1499753761814912e-06,0.0,0.0,0.0,-0.011892482728951995,0.0,0.0,0.0,0.0,0.0,-7.039563827375223e-05,0.0,0.0,0.0,0.02858617231017227,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-5.325124385490146e-06,0.0,0.0,0.0,-0.011853539608878227,0.0,0.0,0.0,0.0,0.0,-0.00020746489682085443,0.0,0.0,0.0,0.03254910264917856,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-2.0559847321973908e-05,0.0,0.0,0.0,-0.011538874861110231,0.0,0.0,0.0,0.0,0.0,-0.0005292518865577809,0.0,0.0,0.0,0.03503430348857933,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-6.720495076554845e-05,0.0,0.0,0.0,-0.012337232570609645,0.0,0.0,0.0,0.0,0.0,-0.0011815214360080062,0.0,0.0,0.0,0.03797506225896065,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-0.0001908187530857096,0.0,0.0,0.0,-0.01196793023907635,0.0,0.0,0.0,0.0,0.0,-0.0023075684200758112,0.0,0.0,0.0,0.040346717493447634,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-0.00047510588234716536,0.0,0.0,0.0,-0.009037728348976903,0.0,0.0,0.0,0.0,0.0,-0.003968378845624519,0.0,0.0,0.0,0.04156971841240219,0.0,0.0
10.0,1.0,80.0,140.0,0.0,0.0,0.0,-0.001040463630133827,0.0,0.0,0.0,-0.007769898525183143,0.0,0.0,0.0,0.0,0.0,-0.006056962175110866,0.0,0.0,0.0,0.04331666311435696,0.0,0.0
